DATE,ACTLISCOUCO
2016-07-01,24681.0
2016-08-01,24838.0
2016-09-01,24446.0
2016-10-01,23042.0
2016-11-01,20511.0
2016-12-01,17816.0
2017-01-01,16228.0
2017-02-01,15865.0
2017-03-01,16413.0
2017-04-01,17377.0
2017-05-01,18805.0
2017-06-01,20769.0
2017-07-01,22585.0
2017-08-01,22898.0
2017-09-01,22369.0
2017-10-01,20909.0
2017-11-01,18624.0
2017-12-01,15902.0
2018-01-01,14581.0
2018-02-01,14517.0
2018-03-01,15232.0
2018-04-01,16458.0
2018-05-01,17898.0
2018-06-01,20381.0
2018-07-01,22086.0
2018-08-01,22899.0
2018-09-01,23364.0
2018-10-01,23022.0
2018-11-01,21813.0
2018-12-01,19135.0
2019-01-01,17446.0
2019-02-01,17352.0
2019-03-01,17968.0
2019-04-01,18912.0
2019-05-01,20768.0
2019-06-01,23206.0
2019-07-01,24976.0
2019-08-01,24732.0
2019-09-01,24197.0
2019-10-01,23633.0
2019-11-01,21042.0
2019-12-01,18854.0
2020-01-01,15248.0
2020-02-01,14366.0
2020-03-01,15414.0
2020-04-01,16421.0
2020-05-01,18214.0
2020-06-01,19231.0
2020-07-01,18410.0
2020-08-01,17351.0
2020-09-01,15966.0
2020-10-01,14350.0
2020-11-01,12093.0
2020-12-01,10120.0
2021-01-01,8600.0
2021-02-01,7985.0
2021-03-01,7864.0
2021-04-01,7768.0
2021-05-01,8163.0
2021-06-01,9620.0
2021-07-01,11127.0
2021-08-01,11581.0
2021-09-01,11524.0
2021-10-01,10863.0
2021-11-01,8953.0
2021-12-01,8553.0
2022-01-01,5947.0
2022-02-01,5961.0
2022-03-01,6461.0
2022-04-01,7431.0
2022-05-01,10365.0
2022-06-01,13418.0
2022-07-01,17180.0
2022-08-01,18081.0
2022-09-01,17995.0
