DATE,MEDDAYONMARCO
2016-07-01,57.0
2016-08-01,62.0
2016-09-01,68.0
2016-10-01,75.0
2016-11-01,87.0
2016-12-01,100.0
2017-01-01,109.0
2017-02-01,101.0
2017-03-01,73.0
2017-04-01,57.0
2017-05-01,51.0
2017-06-01,48.0
2017-07-01,50.0
2017-08-01,56.0
2017-09-01,64.0
2017-10-01,72.0
2017-11-01,80.0
2017-12-01,94.0
2018-01-01,100.0
2018-02-01,89.0
2018-03-01,60.0
2018-04-01,51.0
2018-05-01,47.0
2018-06-01,44.0
2018-07-01,47.0
2018-08-01,53.0
2018-09-01,57.0
2018-10-01,60.0
2018-11-01,66.0
2018-12-01,80.0
2019-01-01,87.0
2019-02-01,78.0
2019-03-01,64.0
2019-04-01,51.0
2019-05-01,44.0
2019-06-01,44.0
2019-07-01,48.0
2019-08-01,54.0
2019-09-01,60.0
2019-10-01,65.0
2019-11-01,74.0
2019-12-01,87.0
2020-01-01,96.0
2020-02-01,92.0
2020-03-01,56.0
2020-04-01,55.0
2020-05-01,59.0
2020-06-01,51.0
2020-07-01,51.0
2020-08-01,51.0
2020-09-01,51.0
2020-10-01,53.0
2020-11-01,60.0
2020-12-01,73.0
2021-01-01,78.0
2021-02-01,59.0
2021-03-01,41.0
2021-04-01,36.0
2021-05-01,30.0
2021-06-01,25.0
2021-07-01,29.0
2021-08-01,32.0
2021-09-01,36.0
2021-10-01,38.0
2021-11-01,46.0
2021-12-01,58.0
2022-01-01,60.0
2022-02-01,35.0
2022-03-01,26.0
2022-04-01,22.0
2022-05-01,21.0
2022-06-01,23.0
2022-07-01,30.0
2022-08-01,39.0
2022-09-01,46.0
