DATE,NEWLISCOUCO
2016-07-01,13424.0
2016-08-01,12400.0
2016-09-01,10916.0
2016-10-01,10328.0
2016-11-01,8130.0
2016-12-01,5756.0
2017-01-01,7584.0
2017-02-01,8910.0
2017-03-01,11414.0
2017-04-01,12160.0
2017-05-01,13730.0
2017-06-01,14784.0
2017-07-01,13452.0
2017-08-01,12178.0
2017-09-01,10848.0
2017-10-01,9910.0
2017-11-01,7902.0
2017-12-01,5900.0
2018-01-01,8094.0
2018-02-01,8992.0
2018-03-01,11420.0
2018-04-01,13324.0
2018-05-01,14052.0
2018-06-01,14340.0
2018-07-01,13084.0
2018-08-01,12232.0
2018-09-01,11332.0
2018-10-01,9914.0
2018-11-01,8728.0
2018-12-01,6320.0
2019-01-01,9190.0
2019-02-01,9922.0
2019-03-01,11928.0
2019-04-01,14494.0
2019-05-01,15280.0
2019-06-01,15584.0
2019-07-01,13376.0
2019-08-01,12156.0
2019-09-01,11288.0
2019-10-01,10348.0
2019-11-01,7700.0
2019-12-01,5920.0
2020-01-01,8154.0
2020-02-01,8776.0
2020-03-01,12198.0
2020-04-01,7462.0
2020-05-01,13376.0
2020-06-01,14420.0
2020-07-01,13554.0
2020-08-01,13060.0
2020-09-01,12186.0
2020-10-01,11308.0
2020-11-01,8232.0
2020-12-01,6336.0
2021-01-01,8100.0
2021-02-01,9182.0
2021-03-01,10450.0
2021-04-01,11036.0
2021-05-01,11920.0
2021-06-01,14034.0
2021-07-01,13044.0
2021-08-01,12150.0
2021-09-01,11174.0
2021-10-01,10140.0
2021-11-01,8040.0
2021-12-01,5756.0
2022-01-01,7052.0
2022-02-01,8262.0
2022-03-01,10258.0
2022-04-01,12692.0
2022-05-01,13940.0
2022-06-01,14752.0
2022-07-01,12468.0
2022-08-01,10930.0
2022-09-01,9652.0
